시간,종목코드,매수/매도,가격,수량,사유,수익률
2025-09-01 11:33:33,054540,매도,9490,35,RSI과매수,-0.32%
2025-09-01 11:33:34,064260,매수,8900,37,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:33:44,064260,매도,8910,37,RSI과매수,0.11%
2025-09-01 11:33:45,484590,매수,18170,18,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:33:56,484590,매도,18170,18,RSI과매수,0.00%
2025-09-01 11:33:56,054540,매수,9480,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:34:21,441270,매도,12220,27,RSI과매수,-0.41%
2025-09-01 11:34:25,484590,매수,18130,18,"RSI:37.5, MA돌파, 거래량급증",0.00%
2025-09-01 11:34:53,097230,매도,21200,15,RSI과매수,0.00%
2025-09-01 11:34:55,064260,매수,8870,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:16,064260,매도,8850,37,RSI과매수,-0.23%
2025-09-01 11:35:16,064260,매수,8850,37,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:16,054540,매도,9510,35,RSI과매수,0.32%
2025-09-01 11:35:20,097230,매수,21300,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:27,484590,매도,18180,18,RSI과매수,0.28%
2025-09-01 11:35:27,484590,매수,18180,18,"RSI:80.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:29,484590,매도,18190,18,RSI과매수,0.06%
2025-09-01 11:35:29,484590,매수,18200,18,"RSI:80.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:30,484590,매도,18210,18,RSI과매수,0.05%
2025-09-01 11:35:30,484590,매수,18210,18,"RSI:75.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:30,484590,매도,18220,18,RSI과매수,0.05%
2025-09-01 11:35:33,484590,매수,18240,18,"RSI:75.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:35:54,484590,매도,18180,18,RSI과매수,-0.33%
2025-09-01 11:35:59,484590,매수,18170,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:36:04,484590,매도,18200,18,RSI과매수,0.17%
2025-09-01 11:36:06,484590,매수,18200,18,"RSI:58.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:36:10,064260,매도,8850,37,RSI과매수,0.00%
2025-09-01 11:36:11,064260,매수,8830,37,"RSI:25.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:36:28,064260,매도,8850,37,RSI과매수,0.23%
2025-09-01 11:36:31,054540,매수,9490,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:36:53,484590,매도,18100,18,RSI과매수,-0.55%
2025-09-01 11:36:54,484590,매수,18120,18,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:36:54,484590,매도,18130,18,RSI과매수,0.06%
2025-09-01 11:36:55,064260,매수,8830,37,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:37:04,064260,매도,8830,37,RSI과매수,0.00%
2025-09-01 11:37:06,484590,매수,18100,18,"RSI:31.2, MA돌파, 거래량급증",0.00%
2025-09-01 11:37:09,054540,매도,9470,35,RSI과매수,-0.21%
2025-09-01 11:37:11,064260,매수,8850,37,"RSI:55.6, MA돌파, 거래량급증",0.00%
2025-09-01 11:37:37,064260,매도,8870,37,RSI과매수,0.23%
2025-09-01 11:37:38,484590,매도,18170,18,RSI과매수,0.39%
2025-09-01 11:37:38,064260,매수,8870,37,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:37:45,441270,매수,12270,27,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:37:47,064260,매도,8870,37,RSI과매수,0.00%
2025-09-01 11:37:50,054540,매수,9510,35,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:38:29,097230,매도,21300,15,RSI과매수,0.00%
2025-09-01 11:38:29,484590,매수,18150,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:38:35,441270,매도,12290,27,RSI과매수,0.16%
2025-09-01 11:38:38,054540,매도,9570,35,RSI과매수,0.63%
2025-09-01 11:38:39,054540,매수,9560,34,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:38:41,064260,매수,8880,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:38:55,064260,매도,8880,37,RSI과매수,0.00%
2025-09-01 11:38:58,201490,매수,5890,56,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:38:58,484590,매도,18140,18,RSI과매수,-0.06%
2025-09-01 11:38:59,064260,매수,8880,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:40:19,054540,매도,9520,34,RSI과매수,-0.42%
2025-09-01 11:40:20,097230,매수,21300,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:40:34,064260,매도,8890,37,RSI과매수,0.11%
2025-09-01 11:40:34,054540,매수,9500,35,"RSI:25.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:41:28,097230,매도,21375,15,RSI과매수,0.35%
2025-09-01 11:41:34,484590,매수,18230,18,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:42:24,054540,매도,9490,35,RSI과매수,-0.11%
2025-09-01 11:42:24,064260,매수,8860,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:42:25,484590,매도,18230,18,RSI과매수,0.00%
2025-09-01 11:42:29,441270,매수,12320,27,"RSI:28.6, MA돌파, 거래량급증",0.00%
2025-09-01 11:42:53,441270,매도,12320,27,RSI과매수,0.00%
2025-09-01 11:42:54,054540,매수,9480,35,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:43:13,064260,매도,8840,37,RSI과매수,-0.23%
2025-09-01 11:43:16,441270,매수,12320,27,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:43:17,201490,매도,5860,56,RSI과매수,-0.51%
